Дата_продажи,Артикул,Наименование_товара,Категория,Количество,Единица_измерения,Цена_за_ед_KZT,Сумма_KZT,ID_Клиента,Склад_отгрузки,Остаток_на_конец_дня
2025-09-01,EKT-AUT-001,Выключатель автоматический 1P 16A C 4.5кА ВА47-29,Модульное оборудование,43,шт,1150.0,49450.0,CLNT-1048,Склад Астана (Главный РЦ),2054
2025-09-01,EKT-AUT-002,Выключатель автоматический 1P 25A C 4.5кА ВА47-29,Модульное оборудование,1,шт,1150.0,1150.0,CLNT-1044,Склад Астана (Главный РЦ),2249
2025-09-01,EKT-AUT-003,Выключатель автоматический 3P 32A C 6кА Easy9,Модульное оборудование,1,шт,4600.0,4600.0,CLNT-1093,Склад Алматы (Южный РЦ),449
2025-09-01,EKT-AUT-003,Выключатель автоматический 3P 32A C 6кА Easy9,Модульное оборудование,7,шт,4600.0,32200.0,CLNT-1015,Склад Астана (Главный РЦ),618
2025-09-01,EKT-AUT-003,Выключатель автоматический 3P 32A C 6кА Easy9,Модульное оборудование,5,шт,4600.0,23000.0,CLNT-1048,Склад Алматы (Южный РЦ),444
2025-09-01,EKT-AUT-004,УЗО 2P 40A 30мА электронное ВД1-63,Модульное оборудование,15,шт,4200.0,63000.0,CLNT-1106,Склад Астана (Главный РЦ),735
2025-09-01,EKT-AUT-005,Дифференциальный автомат 1P+N 16A C 30мА АВДТ32,Модульное оборудование,9,шт,3850.0,34650.0,CLNT-1090,Склад Астана (Главный РЦ),991
2025-09-01,EKT-AUT-005,Дифференциальный автомат 1P+N 16A C 30мА АВДТ32,Модульное оборудование,4,шт,3850.0,15400.0,CLNT-1084,Склад Астана (Главный РЦ),987
2025-09-01,EKT-AUT-005,Дифференциальный автомат 1P+N 16A C 30мА АВДТ32,Модульное оборудование,32,шт,3850.0,123200.0,CLNT-1037,Склад Астана (Главный РЦ),955
2025-09-01,EKT-AUT-006,Автоматический выключатель дифференциальный 3P+N 63A,Модульное оборудование,2,шт,18500.0,37000.0,CLNT-1110,Склад Алматы (Южный РЦ),106
2025-09-01,EKT-LGT-001,Панель светодиодная LED 600x600 36W 4000K Опал,Светотехника,16,шт,5400.0,86400.0,CLNT-1058,Склад Астана (Главный РЦ),1109
2025-09-01,EKT-LGT-002,Прожектор светодиодный 50W 6500K IP65 SMD,Светотехника,2,шт,4800.0,9600.0,CLNT-1045,Склад Астана (Главный РЦ),798
2025-09-01,EKT-LGT-002,Прожектор светодиодный 50W 6500K IP65 SMD,Светотехника,8,шт,4800.0,38400.0,CLNT-1034,Склад Астана (Главный РЦ),790
2025-09-01,EKT-LGT-002,Прожектор светодиодный 50W 6500K IP65 SMD,Светотехника,12,шт,4800.0,57600.0,CLNT-1087,Склад Алматы (Южный РЦ),564
2025-09-01,EKT-LGT-003,Лампа светодиодная LED A60 11W E27 4000K,Светотехника,18,шт,420.0,7560.0,CLNT-1021,Склад Астана (Главный РЦ),3482
2025-09-01,EKT-LGT-004,Светильник пылевлагозащищенный ЛСП 2х36W IP65,Светотехника,10,шт,6200.0,62000.0,CLNT-1048,Склад Астана (Главный РЦ),490
2025-09-01,EKT-LGT-004,Светильник пылевлагозащищенный ЛСП 2х36W IP65,Светотехника,6,шт,6200.0,37200.0,CLNT-1118,Склад Астана (Главный РЦ),484
2025-09-01,EKT-LGT-005,Светильник аварийный светодиодный 30 LED с АКБ,Светотехника,6,шт,3100.0,18600.0,CLNT-1107,Склад Алматы (Южный РЦ),318
2025-09-01,EKT-LGT-005,Светильник аварийный светодиодный 30 LED с АКБ,Светотехника,5,шт,3100.0,15500.0,CLNT-1007,Склад Алматы (Южный РЦ),313
2025-09-01,EKT-ELU-001,Розетка 2-местная с заземлением белая Glossa,Электроустановочные изделия,93,шт,1366.8,127112.4,CLNT-1103,Склад Алматы (Южный РЦ),1167
2025-09-01,EKT-ELU-001,Розетка 2-местная с заземлением белая Glossa,Электроустановочные изделия,45,шт,1450.0,65250.0,CLNT-1027,Склад Астана (Главный РЦ),1705
2025-09-01,EKT-ELU-002,Выключатель 1-клавишный белый Glossa,Электроустановочные изделия,17,шт,1200.0,20400.0,CLNT-1063,Склад Астана (Главный РЦ),1608
2025-09-01,EKT-ELU-002,Выключатель 1-клавишный белый Glossa,Электроустановочные изделия,62,шт,1200.0,74400.0,CLNT-1117,Склад Астана (Главный РЦ),1546
2025-09-01,EKT-ELU-002,Выключатель 1-клавишный белый Glossa,Электроустановочные изделия,14,шт,1200.0,16800.0,CLNT-1018,Склад Алматы (Южный РЦ),1156
2025-09-01,EKT-ELU-003,Рамка 3 поста универсальная белая Glossa,Электроустановочные изделия,29,шт,850.0,24650.0,CLNT-1095,Склад Астана (Главный РЦ),971
2025-09-01,EKT-ELU-003,Рамка 3 поста универсальная белая Glossa,Электроустановочные изделия,1,шт,850.0,850.0,CLNT-1033,Склад Астана (Главный РЦ),970
2025-09-01,EKT-ELU-003,Рамка 3 поста универсальная белая Glossa,Электроустановочные изделия,7,шт,850.0,5950.0,CLNT-1054,Склад Алматы (Южный РЦ),713
2025-09-01,EKT-ELU-004,Вилка каучуковая прямая 16A IP44,Электроустановочные изделия,25,шт,720.0,18000.0,CLNT-1017,Склад Астана (Главный РЦ),1225
2025-09-01,EKT-ELU-004,Вилка каучуковая прямая 16A IP44,Электроустановочные изделия,31,шт,720.0,22320.0,CLNT-1011,Склад Астана (Главный РЦ),1194
2025-09-01,EKT-ELU-004,Вилка каучуковая прямая 16A IP44,Электроустановочные изделия,24,шт,720.0,17280.0,CLNT-1110,Склад Алматы (Южный РЦ),876
2025-09-01,EKT-ELU-004,Вилка каучуковая прямая 16A IP44,Электроустановочные изделия,21,шт,720.0,15120.0,CLNT-1080,Склад Астана (Главный РЦ),1173
2025-09-01,EKT-CNS-001,Кабель-канал 25х16 мм белый (упак. 40м),Кабельнесущие системы,98,м,160.0,15680.0,CLNT-1054,Склад Алматы (Южный РЦ),4582
2025-09-01,EKT-CNS-001,Кабель-канал 25х16 мм белый (упак. 40м),Кабельнесущие системы,22,м,160.0,3520.0,CLNT-1049,Склад Астана (Главный РЦ),6478
2025-09-01,EKT-CNS-002,Лоток перфорированный оцинкованный 100х50х3000,Кабельнесущие системы,21,м,2850.0,59850.0,CLNT-1059,Склад Астана (Главный РЦ),1979
2025-09-01,EKT-CNS-002,Лоток перфорированный оцинкованный 100х50х3000,Кабельнесущие системы,27,м,2850.0,76950.0,CLNT-1070,Склад Астана (Главный РЦ),1952
2025-09-01,EKT-CNS-002,Лоток перфорированный оцинкованный 100х50х3000,Кабельнесущие системы,57,м,2850.0,162450.0,CLNT-1001,Склад Алматы (Южный РЦ),1383
2025-09-01,EKT-CNS-002,Лоток перфорированный оцинкованный 100х50х3000,Кабельнесущие системы,43,м,2850.0,122550.0,CLNT-1014,Склад Алматы (Южный РЦ),1340
2025-09-01,EKT-CNS-003,Труба гофрированная ПВХ d20 с протяжкой (100м),Кабельнесущие системы,8,м,75.0,600.0,CLNT-1043,Склад Алматы (Южный РЦ),8092
2025-09-01,EKT-CNS-003,Труба гофрированная ПВХ d20 с протяжкой (100м),Кабельнесущие системы,349,м,75.0,26175.0,CLNT-1055,Склад Астана (Главный РЦ),10901
2025-09-01,EKT-CNS-003,Труба гофрированная ПВХ d20 с протяжкой (100м),Кабельнесущие системы,233,м,75.0,17475.0,CLNT-1000,Склад Астана (Главный РЦ),10668
2025-09-01,EKT-SHT-001,Корпус металлический ЩРн-24з-1 36 УХЛ3 IP31,Щитовое оборудование,3,шт,14200.0,42600.0,CLNT-1097,Склад Алматы (Южный РЦ),213
2025-09-01,EKT-SHT-001,Корпус металлический ЩРн-24з-1 36 УХЛ3 IP31,Щитовое оборудование,7,шт,14200.0,99400.0,CLNT-1116,Склад Астана (Главный РЦ),293
2025-09-01,EKT-SHT-001,Корпус металлический ЩРн-24з-1 36 УХЛ3 IP31,Щитовое оборудование,8,шт,14200.0,113600.0,CLNT-1080,Склад Астана (Главный РЦ),285
2025-09-01,EKT-SHT-002,Счетчик э/э многотарифный 3-фазный прямого включения,Щитовое оборудование,5,шт,24500.0,122500.0,CLNT-1064,Склад Алматы (Южный РЦ),139
2025-09-01,EKT-SHT-002,Счетчик э/э многотарифный 3-фазный прямого включения,Щитовое оборудование,1,шт,24500.0,24500.0,CLNT-1019,Склад Астана (Главный РЦ),199
2025-09-01,EKT-SHT-002,Счетчик э/э многотарифный 3-фазный прямого включения,Щитовое оборудование,3,шт,24500.0,73500.0,CLNT-1020,Склад Астана (Главный РЦ),196
2025-09-01,EKT-SHT-003,Шина нулевая изолированная на DIN-рейку 8х12 / 12 групп,Щитовое оборудование,51,шт,480.0,24480.0,CLNT-1062,Склад Астана (Главный РЦ),2324
2025-09-01,EKT-SHT-004,Наконечник кабельный медный луженый ТМЛ 16-8-6,Щитовое оборудование,223,шт,110.0,24530.0,CLNT-1046,Склад Астана (Главный РЦ),7777
2025-09-02,EKT-CBL-001,Кабель ВВГнг(А)-LS 3х1.5 (бухта 100м),Кабель и провод,106,м,420.0,44520.0,CLNT-1030,Склад Астана (Главный РЦ),5210
2025-09-02,EKT-CBL-001,Кабель ВВГнг(А)-LS 3х1.5 (бухта 100м),Кабель и провод,130,м,420.0,54600.0,CLNT-1010,Склад Алматы (Южный РЦ),3830
2025-09-02,EKT-CBL-001,Кабель ВВГнг(А)-LS 3х1.5 (бухта 100м),Кабель и провод,56,м,420.0,23520.0,CLNT-1062,Склад Астана (Главный РЦ),5154
2025-09-02,EKT-CBL-002,Кабель ВВГнг(А)-LS 3х2.5 (бухта 100м),Кабель и провод,76,м,680.0,51680.0,CLNT-1068,Склад Алматы (Южный РЦ),6044
2025-09-02,EKT-CBL-003,Провод СИП-4 4х16 (барабан),Кабель и провод,104,м,950.0,98800.0,CLNT-1060,Склад Астана (Главный РЦ),2513
2025-09-02,EKT-CBL-003,Провод СИП-4 4х16 (барабан),Кабель и провод,126,м,893.57,112589.82,CLNT-1021,Склад Алматы (Южный РЦ),1854
2025-09-02,EKT-CBL-004,Кабель витая пара UTP 4 пары Cat 5e PVC 305м,Кабель и провод,78,м,180.0,14040.0,CLNT-1118,Склад Алматы (Южный РЦ),3162
2025-09-02,EKT-CBL-004,Кабель витая пара UTP 4 пары Cat 5e PVC 305м,Кабель и провод,126,м,180.0,22680.0,CLNT-1093,Склад Астана (Главный РЦ),4232
2025-09-02,EKT-CBL-004,Кабель витая пара UTP 4 пары Cat 5e PVC 305м,Кабель и провод,98,м,180.0,17640.0,CLNT-1091,Склад Алматы (Южный РЦ),3064
2025-09-02,EKT-CBL-004,Кабель витая пара UTP 4 пары Cat 5e PVC 305м,Кабель и провод,52,м,180.0,9360.0,CLNT-1085,Склад Астана (Главный РЦ),4180
2025-09-02,EKT-CBL-005,Провод ПВС 3х2.5 соединительный белый,Кабель и провод,81,м,540.0,43740.0,CLNT-1066,Склад Астана (Главный РЦ),3308
2025-09-02,EKT-CBL-005,Провод ПВС 3х2.5 соединительный белый,Кабель и провод,125,м,540.0,67500.0,CLNT-1031,Склад Астана (Главный РЦ),3183
2025-09-02,EKT-CBL-005,Провод ПВС 3х2.5 соединительный белый,Кабель и провод,66,м,540.0,35640.0,CLNT-1043,Склад Астана (Главный РЦ),3117
2025-09-02,EKT-AUT-001,Выключатель автоматический 1P 16A C 4.5кА ВА47-29,Модульное оборудование,71,шт,1150.0,81650.0,CLNT-1029,Склад Астана (Главный РЦ),1983
2025-09-02,EKT-AUT-002,Выключатель автоматический 1P 25A C 4.5кА ВА47-29,Модульное оборудование,1,шт,1150.0,1150.0,CLNT-1090,Склад Астана (Главный РЦ),2248
2025-09-02,EKT-AUT-002,Выключатель автоматический 1P 25A C 4.5кА ВА47-29,Модульное оборудование,59,шт,1150.0,67850.0,CLNT-1029,Склад Алматы (Южный РЦ),1561
2025-09-02,EKT-AUT-003,Выключатель автоматический 3P 32A C 6кА Easy9,Модульное оборудование,11,шт,4600.0,50600.0,CLNT-1110,Склад Алматы (Южный РЦ),433
2025-09-02,EKT-AUT-004,УЗО 2P 40A 30мА электронное ВД1-63,Модульное оборудование,11,шт,4200.0,46200.0,CLNT-1030,Склад Астана (Главный РЦ),724
2025-09-02,EKT-AUT-004,УЗО 2P 40A 30мА электронное ВД1-63,Модульное оборудование,14,шт,4200.0,58800.0,CLNT-1062,Склад Астана (Главный РЦ),710
2025-09-02,EKT-AUT-004,УЗО 2P 40A 30мА электронное ВД1-63,Модульное оборудование,1,шт,4200.0,4200.0,CLNT-1016,Склад Астана (Главный РЦ),709
2025-09-02,EKT-AUT-005,Дифференциальный автомат 1P+N 16A C 30мА АВДТ32,Модульное оборудование,15,шт,3850.0,57750.0,CLNT-1060,Склад Астана (Главный РЦ),940
2025-09-02,EKT-AUT-005,Дифференциальный автомат 1P+N 16A C 30мА АВДТ32,Модульное оборудование,21,шт,3850.0,80850.0,CLNT-1024,Склад Алматы (Южный РЦ),699
2025-09-02,EKT-AUT-005,Дифференциальный автомат 1P+N 16A C 30мА АВДТ32,Модульное оборудование,32,шт,3850.0,123200.0,CLNT-1084,Склад Астана (Главный РЦ),908
2025-09-02,EKT-AUT-005,Дифференциальный автомат 1P+N 16A C 30мА АВДТ32,Модульное оборудование,12,шт,3850.0,46200.0,CLNT-1054,Склад Астана (Главный РЦ),896
2025-09-02,EKT-AUT-006,Автоматический выключатель дифференциальный 3P+N 63A,Модульное оборудование,1,шт,18500.0,18500.0,CLNT-1093,Склад Астана (Главный РЦ),149
2025-09-02,EKT-AUT-006,Автоматический выключатель дифференциальный 3P+N 63A,Модульное оборудование,1,шт,18500.0,18500.0,CLNT-1083,Склад Астана (Главный РЦ),148
2025-09-02,EKT-AUT-006,Автоматический выключатель дифференциальный 3P+N 63A,Модульное оборудование,4,шт,18500.0,74000.0,CLNT-1012,Склад Алматы (Южный РЦ),102
2025-09-02,EKT-AUT-006,Автоматический выключатель дифференциальный 3P+N 63A,Модульное оборудование,3,шт,18500.0,55500.0,CLNT-1093,Склад Астана (Главный РЦ),145
2025-09-02,EKT-LGT-001,Панель светодиодная LED 600x600 36W 4000K Опал,Светотехника,11,шт,5400.0,59400.0,CLNT-1013,Склад Алматы (Южный РЦ),799
2025-09-02,EKT-LGT-001,Панель светодиодная LED 600x600 36W 4000K Опал,Светотехника,20,шт,5400.0,108000.0,CLNT-1024,Склад Астана (Главный РЦ),1089
2025-09-02,EKT-LGT-001,Панель светодиодная LED 600x600 36W 4000K Опал,Светотехника,17,шт,5400.0,91800.0,CLNT-1017,Склад Астана (Главный РЦ),1072
2025-09-02,EKT-LGT-002,Прожектор светодиодный 50W 6500K IP65 SMD,Светотехника,17,шт,4800.0,81600.0,CLNT-1059,Склад Астана (Главный РЦ),773
2025-09-02,EKT-LGT-002,Прожектор светодиодный 50W 6500K IP65 SMD,Светотехника,7,шт,4800.0,33600.0,CLNT-1118,Склад Астана (Главный РЦ),766
2025-09-02,EKT-LGT-002,Прожектор светодиодный 50W 6500K IP65 SMD,Светотехника,9,шт,4800.0,43200.0,CLNT-1103,Склад Астана (Главный РЦ),757
2025-09-02,EKT-LGT-002,Прожектор светодиодный 50W 6500K IP65 SMD,Светотехника,9,шт,4800.0,43200.0,CLNT-1070,Склад Алматы (Южный РЦ),555
2025-09-02,EKT-LGT-003,Лампа светодиодная LED A60 11W E27 4000K,Светотехника,9,шт,420.0,3780.0,CLNT-1069,Склад Астана (Главный РЦ),3473
2025-09-02,EKT-LGT-004,Светильник пылевлагозащищенный ЛСП 2х36W IP65,Светотехника,10,шт,6200.0,62000.0,CLNT-1118,Склад Алматы (Южный РЦ),350
2025-09-02,EKT-LGT-005,Светильник аварийный светодиодный 30 LED с АКБ,Светотехника,9,шт,3100.0,27900.0,CLNT-1062,Склад Астана (Главный РЦ),441
2025-09-02,EKT-LGT-005,Светильник аварийный светодиодный 30 LED с АКБ,Светотехника,8,шт,3100.0,24800.0,CLNT-1110,Склад Астана (Главный РЦ),433
2025-09-02,EKT-ELU-001,Розетка 2-местная с заземлением белая Glossa,Электроустановочные изделия,40,шт,1450.0,58000.0,CLNT-1021,Склад Алматы (Южный РЦ),1127
2025-09-02,EKT-ELU-001,Розетка 2-местная с заземлением белая Glossa,Электроустановочные изделия,10,шт,1450.0,14500.0,CLNT-1049,Склад Астана (Главный РЦ),1695
2025-09-02,EKT-ELU-001,Розетка 2-местная с заземлением белая Glossa,Электроустановочные изделия,35,шт,1450.0,50750.0,CLNT-1100,Склад Астана (Главный РЦ),1660
2025-09-02,EKT-ELU-001,Розетка 2-местная с заземлением белая Glossa,Электроустановочные изделия,37,шт,1450.0,53650.0,CLNT-1036,Склад Алматы (Южный РЦ),1090
2025-09-02,EKT-ELU-002,Выключатель 1-клавишный белый Glossa,Электроустановочные изделия,23,шт,1200.0,27600.0,CLNT-1093,Склад Алматы (Южный РЦ),1133
2025-09-02,EKT-ELU-002,Выключатель 1-клавишный белый Glossa,Электроустановочные изделия,39,шт,1200.0,46800.0,CLNT-1071,Склад Алматы (Южный РЦ),1094
2025-09-02,EKT-ELU-002,Выключатель 1-клавишный белый Glossa,Электроустановочные изделия,52,шт,1200.0,62400.0,CLNT-1062,Склад Алматы (Южный РЦ),1042
2025-09-02,EKT-ELU-002,Выключатель 1-клавишный белый Glossa,Электроустановочные изделия,87,шт,1126.45,98001.15,CLNT-1037,Склад Астана (Главный РЦ),1459
2025-09-02,EKT-ELU-003,Рамка 3 поста универсальная белая Glossa,Электроустановочные изделия,28,шт,850.0,23800.0,CLNT-1069,Склад Астана (Главный РЦ),942
2025-09-02,EKT-ELU-004,Вилка каучуковая прямая 16A IP44,Электроустановочные изделия,25,шт,720.0,18000.0,CLNT-1007,Склад Алматы (Южный РЦ),851
2025-09-02,EKT-CNS-001,Кабель-канал 25х16 мм белый (упак. 40м),Кабельнесущие системы,113,м,160.0,18080.0,CLNT-1064,Склад Астана (Главный РЦ),6365
2025-09-02,EKT-CNS-002,Лоток перфорированный оцинкованный 100х50х3000,Кабельнесущие системы,1,м,2850.0,2850.0,CLNT-1065,Склад Астана (Главный РЦ),1951
2025-09-02,EKT-CNS-002,Лоток перфорированный оцинкованный 100х50х3000,Кабельнесущие системы,35,м,2850.0,99750.0,CLNT-1023,Склад Астана (Главный РЦ),1916
2025-09-02,EKT-CNS-003,Труба гофрированная ПВХ d20 с протяжкой (100м),Кабельнесущие системы,306,м,75.0,22950.0,CLNT-1086,Склад Астана (Главный РЦ),10362
2025-09-02,EKT-SHT-001,Корпус металлический ЩРн-24з-1 36 УХЛ3 IP31,Щитовое оборудование,12,шт,14200.0,170400.0,CLNT-1113,Склад Астана (Главный РЦ),273
2025-09-02,EKT-SHT-001,Корпус металлический ЩРн-24з-1 36 УХЛ3 IP31,Щитовое оборудование,4,шт,14200.0,56800.0,CLNT-1074,Склад Астана (Главный РЦ),269
2025-09-02,EKT-SHT-002,Счетчик э/э многотарифный 3-фазный прямого включения,Щитовое оборудование,4,шт,24500.0,98000.0,CLNT-1053,Склад Астана (Главный РЦ),192
2025-09-02,EKT-SHT-003,Шина нулевая изолированная на DIN-рейку 8х12 / 12 групп,Щитовое оборудование,42,шт,480.0,20160.0,CLNT-1026,Склад Алматы (Южный РЦ),1668
2025-09-02,EKT-SHT-003,Шина нулевая изолированная на DIN-рейку 8х12 / 12 групп,Щитовое оборудование,15,шт,480.0,7200.0,CLNT-1040,Склад Алматы (Южный РЦ),1653
2025-09-02,EKT-SHT-003,Шина нулевая изолированная на DIN-рейку 8х12 / 12 групп,Щитовое оборудование,70,шт,480.0,33600.0,CLNT-1050,Склад Астана (Главный РЦ),2254
2025-09-02,EKT-SHT-004,Наконечник кабельный медный луженый ТМЛ 16-8-6,Щитовое оборудование,205,шт,110.0,22550.0,CLNT-1038,Склад Алматы (Южный РЦ),5555
2025-09-02,EKT-SHT-004,Наконечник кабельный медный луженый ТМЛ 16-8-6,Щитовое оборудование,208,шт,110.0,22880.0,CLNT-1118,Склад Астана (Главный РЦ),7569
2025-09-03,EKT-CBL-001,Кабель ВВГнг(А)-LS 3х1.5 (бухта 100м),Кабель и провод,72,м,420.0,30240.0,CLNT-1079,Склад Астана (Главный РЦ),5082
2025-09-03,EKT-CBL-002,Кабель ВВГнг(А)-LS 3х2.5 (бухта 100м),Кабель и провод,396,м,646.16,255879.36,CLNT-1027,Склад Астана (Главный РЦ),7594
2025-09-03,EKT-CBL-003,Провод СИП-4 4х16 (барабан),Кабель и провод,16,м,950.0,15200.0,CLNT-1112,Склад Алматы (Южный РЦ),1838
2025-09-03,EKT-CBL-003,Провод СИП-4 4х16 (барабан),Кабель и провод,95,м,950.0,90250.0,CLNT-1031,Склад Астана (Главный РЦ),2418
2025-09-03,EKT-CBL-004,Кабель витая пара UTP 4 пары Cat 5e PVC 305м,Кабель и провод,180,м,180.0,32400.0,CLNT-1056,Склад Астана (Главный РЦ),4000
2025-09-03,EKT-CBL-004,Кабель витая пара UTP 4 пары Cat 5e PVC 305м,Кабель и провод,37,м,180.0,6660.0,CLNT-1090,Склад Алматы (Южный РЦ),3027
2025-09-03,EKT-CBL-004,Кабель витая пара UTP 4 пары Cat 5e PVC 305м,Кабель и провод,56,м,180.0,10080.0,CLNT-1103,Склад Астана (Главный РЦ),3944
2025-09-03,EKT-CBL-005,Провод ПВС 3х2.5 соединительный белый,Кабель и провод,71,м,540.0,38340.0,CLNT-1070,Склад Алматы (Южный РЦ),2629
2025-09-03,EKT-AUT-001,Выключатель автоматический 1P 16A C 4.5кА ВА47-29,Модульное оборудование,27,шт,1150.0,31050.0,CLNT-1013,Склад Алматы (Южный РЦ),1475
2025-09-03,EKT-AUT-001,Выключатель автоматический 1P 16A C 4.5кА ВА47-29,Модульное оборудование,5,шт,1150.0,5750.0,CLNT-1017,Склад Алматы (Южный РЦ),1470
2025-09-03,EKT-AUT-001,Выключатель автоматический 1P 16A C 4.5кА ВА47-29,Модульное оборудование,40,шт,1150.0,46000.0,CLNT-1113,Склад Астана (Главный РЦ),1943
2025-09-03,EKT-AUT-002,Выключатель автоматический 1P 25A C 4.5кА ВА47-29,Модульное оборудование,17,шт,1150.0,19550.0,CLNT-1019,Склад Алматы (Южный РЦ),1544
2025-09-03,EKT-AUT-003,Выключатель автоматический 3P 32A C 6кА Easy9,Модульное оборудование,14,шт,4600.0,64400.0,CLNT-1026,Склад Астана (Главный РЦ),604
2025-09-03,EKT-AUT-003,Выключатель автоматический 3P 32A C 6кА Easy9,Модульное оборудование,5,шт,4600.0,23000.0,CLNT-1026,Склад Алматы (Южный РЦ),428
2025-09-03,EKT-AUT-003,Выключатель автоматический 3P 32A C 6кА Easy9,Модульное оборудование,21,шт,4600.0,96600.0,CLNT-1109,Склад Алматы (Южный РЦ),407
2025-09-03,EKT-AUT-004,УЗО 2P 40A 30мА электронное ВД1-63,Модульное оборудование,7,шт,4200.0,29400.0,CLNT-1032,Склад Астана (Главный РЦ),702
2025-09-03,EKT-AUT-004,УЗО 2P 40A 30мА электронное ВД1-63,Модульное оборудование,11,шт,4200.0,46200.0,CLNT-1108,Склад Алматы (Южный РЦ),529
2025-09-03,EKT-AUT-004,УЗО 2P 40A 30мА электронное ВД1-63,Модульное оборудование,19,шт,4200.0,79800.0,CLNT-1081,Склад Астана (Главный РЦ),683
2025-09-03,EKT-AUT-005,Дифференциальный автомат 1P+N 16A C 30мА АВДТ32,Модульное оборудование,5,шт,3850.0,19250.0,CLNT-1005,Склад Алматы (Южный РЦ),694
2025-09-03,EKT-AUT-005,Дифференциальный автомат 1P+N 16A C 30мА АВДТ32,Модульное оборудование,20,шт,3850.0,77000.0,CLNT-1098,Склад Астана (Главный РЦ),876
2025-09-03,EKT-AUT-005,Дифференциальный автомат 1P+N 16A C 30мА АВДТ32,Модульное оборудование,31,шт,3850.0,119350.0,CLNT-1033,Склад Астана (Главный РЦ),845
2025-09-03,EKT-AUT-005,Дифференциальный автомат 1P+N 16A C 30мА АВДТ32,Модульное оборудование,2,шт,3850.0,7700.0,CLNT-1056,Склад Астана (Главный РЦ),843
2025-09-03,EKT-AUT-006,Автоматический выключатель дифференциальный 3P+N 63A,Модульное оборудование,3,шт,18500.0,55500.0,CLNT-1014,Склад Астана (Главный РЦ),142
2025-09-03,EKT-AUT-006,Автоматический выключатель дифференциальный 3P+N 63A,Модульное оборудование,3,шт,18500.0,55500.0,CLNT-1113,Склад Астана (Главный РЦ),139
2025-09-03,EKT-AUT-006,Автоматический выключатель дифференциальный 3P+N 63A,Модульное оборудование,3,шт,18500.0,55500.0,CLNT-1019,Склад Алматы (Южный РЦ),99
2025-09-03,EKT-AUT-006,Автоматический выключатель дифференциальный 3P+N 63A,Модульное оборудование,1,шт,18500.0,18500.0,CLNT-1106,Склад Астана (Главный РЦ),138
2025-09-03,EKT-LGT-001,Панель светодиодная LED 600x600 36W 4000K Опал,Светотехника,4,шт,5400.0,21600.0,CLNT-1018,Склад Астана (Главный РЦ),1068
2025-09-03,EKT-LGT-001,Панель светодиодная LED 600x600 36W 4000K Опал,Светотехника,21,шт,5400.0,113400.0,CLNT-1005,Склад Астана (Главный РЦ),1047
2025-09-03,EKT-LGT-001,Панель светодиодная LED 600x600 36W 4000K Опал,Светотехника,19,шт,5400.0,102600.0,CLNT-1115,Склад Астана (Главный РЦ),1028
2025-09-03,EKT-LGT-002,Прожектор светодиодный 50W 6500K IP65 SMD,Светотехника,13,шт,4800.0,62400.0,CLNT-1026,Склад Алматы (Южный РЦ),542
