Дата_продажи,Артикул,Наименование_товара,Категория,Количество,Единица_измерения,Цена_за_ед_KZT,Сумма_KZT,ID_Клиента,Склад_отгрузки,Остаток_на_конец_дня,Тип_Транзакции,Примечание_Закупщика
2025-09-01,EKT-AUT-005,Дифференциальный автомат 1P+N 16A C 30мА АВДТ32,Модульное оборудование,39,шт,3850.0,150150.0,CLNT-1087,Склад Астана (Главный РЦ),861,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-AUT-005,Дифференциальный автомат 1P+N 16A C 30мА АВДТ32,Модульное оборудование,26,шт,3850.0,100100.0,CLNT-1074,Склад Алматы (Южный РЦ),874,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-AUT-006,Автоматический выключатель дифференциальный 3P+N 63A,Модульное оборудование,5,шт,18500.0,92500.0,CLNT-1069,Склад Астана (Главный РЦ),115,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-AUT-006,Автоматический выключатель дифференциальный 3P+N 63A,Модульное оборудование,1,шт,18500.0,18500.0,CLNT-1028,Склад Алматы (Южный РЦ),119,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-LGT-001,Панель светодиодная LED 600x600 36W 4000K Опал,Светотехника,50,шт,5400.0,270000.0,CLNT-1054,Склад Астана (Главный РЦ),1300,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-LGT-001,Панель светодиодная LED 600x600 36W 4000K Опал,Светотехника,28,шт,5400.0,151200.0,CLNT-1080,Склад Алматы (Южный РЦ),1322,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-LGT-002,Прожектор светодиодный 50W 6500K IP65 SMD,Светотехника,41,шт,4800.0,196800.0,CLNT-1129,Склад Астана (Главный РЦ),1009,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-LGT-002,Прожектор светодиодный 50W 6500K IP65 SMD,Светотехника,29,шт,4800.0,139200.0,CLNT-1033,Склад Алматы (Южный РЦ),1021,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-LGT-003,Лампа светодиодная LED A60 11W E27 4000K,Светотехника,109,шт,420.0,45780.0,CLNT-1107,Склад Астана (Главный РЦ),3191,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-LGT-003,Лампа светодиодная LED A60 11W E27 4000K,Светотехника,104,шт,420.0,43680.0,CLNT-1009,Склад Алматы (Южный РЦ),3196,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-LGT-004,Светильник пылевлагозащищенный ЛСП 2х36W IP65,Светотехника,26,шт,6200.0,161200.0,CLNT-1090,Склад Астана (Главный РЦ),514,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-LGT-004,Светильник пылевлагозащищенный ЛСП 2х36W IP65,Светотехника,13,шт,6200.0,80600.0,CLNT-1038,Склад Алматы (Южный РЦ),527,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-LGT-005,Светильник аварийный светодиодный 30 LED с АКБ,Светотехника,11,шт,3100.0,34100.0,CLNT-1148,Склад Астана (Главный РЦ),439,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-LGT-005,Светильник аварийный светодиодный 30 LED с АКБ,Светотехника,11,шт,3100.0,34100.0,CLNT-1135,Склад Алматы (Южный РЦ),439,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-ELU-001,Розетка 2-местная с заземлением белая Glossa,Электроустановочные изделия,75,шт,1450.0,108750.0,CLNT-1020,Склад Астана (Главный РЦ),2025,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-ELU-001,Розетка 2-местная с заземлением белая Glossa,Электроустановочные изделия,67,шт,1450.0,97150.0,CLNT-1140,Склад Алматы (Южный РЦ),2033,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-ELU-002,Выключатель 1-клавишный белый Glossa,Электроустановочные изделия,72,шт,1200.0,86400.0,CLNT-1140,Склад Астана (Главный РЦ),1728,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-ELU-002,Выключатель 1-клавишный белый Glossa,Электроустановочные изделия,51,шт,1200.0,61200.0,CLNT-1071,Склад Алматы (Южный РЦ),1749,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-ELU-003,Рамка 3 поста универсальная белая Glossa,Электроустановочные изделия,32,шт,850.0,27200.0,CLNT-1128,Склад Астана (Главный РЦ),1018,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-ELU-003,Рамка 3 поста универсальная белая Glossa,Электроустановочные изделия,27,шт,850.0,22950.0,CLNT-1025,Склад Алматы (Южный РЦ),1023,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-ELU-004,Вилка каучуковая прямая 16A IP44,Электроустановочные изделия,50,шт,720.0,36000.0,CLNT-1141,Склад Астана (Главный РЦ),1150,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-ELU-004,Вилка каучуковая прямая 16A IP44,Электроустановочные изделия,44,шт,720.0,31680.0,CLNT-1116,Склад Алматы (Южный РЦ),1156,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-CNS-001,Кабель-канал 25х16 мм белый (упак. 40м),Кабельнесущие системы,173,м,160.0,27680.0,CLNT-1044,Склад Астана (Главный РЦ),4627,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-CNS-001,Кабель-канал 25х16 мм белый (упак. 40м),Кабельнесущие системы,143,м,160.0,22880.0,CLNT-1003,Склад Алматы (Южный РЦ),4657,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-CNS-002,Лоток перфорированный оцинкованный 100х50х3000,Кабельнесущие системы,103,м,2850.0,293550.0,CLNT-1113,Склад Астана (Главный РЦ),2597,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-CNS-002,Лоток перфорированный оцинкованный 100х50х3000,Кабельнесущие системы,67,м,2850.0,190950.0,CLNT-1066,Склад Алматы (Южный РЦ),2633,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-CNS-003,Труба гофрированная ПВХ d20 с протяжкой (100м),Кабельнесущие системы,247,м,75.0,18525.0,CLNT-1056,Склад Астана (Главный РЦ),6353,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-CNS-003,Труба гофрированная ПВХ d20 с протяжкой (100м),Кабельнесущие системы,179,м,75.0,13425.0,CLNT-1145,Склад Алматы (Южный РЦ),6421,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-SHT-001,Корпус металлический ЩРн-24з-1 36 УХЛ3 IP31,Щитовое оборудование,16,шт,14200.0,227200.0,CLNT-1099,Склад Астана (Главный РЦ),344,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-SHT-001,Корпус металлический ЩРн-24з-1 36 УХЛ3 IP31,Щитовое оборудование,5,шт,14200.0,71000.0,CLNT-1023,Склад Алматы (Южный РЦ),355,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-SHT-002,Счетчик э/э многотарифный 3-фазный прямого включения,Щитовое оборудование,10,шт,24500.0,245000.0,CLNT-1097,Склад Астана (Главный РЦ),230,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-SHT-002,Счетчик э/э многотарифный 3-фазный прямого включения,Щитовое оборудование,5,шт,24500.0,122500.0,CLNT-1046,Склад Алматы (Южный РЦ),235,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-SHT-003,Шина нулевая изолированная на DIN-рейку 8х12 / 12 групп,Щитовое оборудование,54,шт,480.0,25920.0,CLNT-1123,Склад Астана (Главный РЦ),1446,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-SHT-003,Шина нулевая изолированная на DIN-рейку 8х12 / 12 групп,Щитовое оборудование,30,шт,480.0,14400.0,CLNT-1017,Склад Алматы (Южный РЦ),1470,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-SHT-004,Наконечник кабельный медный луженый ТМЛ 16-8-6,Щитовое оборудование,214,шт,110.0,23540.0,CLNT-1138,Склад Астана (Главный РЦ),5186,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-SHT-004,Наконечник кабельный медный луженый ТМЛ 16-8-6,Щитовое оборудование,145,шт,110.0,15950.0,CLNT-1101,Склад Алматы (Южный РЦ),5255,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-CBL-001,Кабель ВВГнг(А)-LS 3х1.5 (бухта 100м),Кабель и провод,175,м,420.0,73500.0,CLNT-1144,Склад Астана (Главный РЦ),3879,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-CBL-001,Кабель ВВГнг(А)-LS 3х1.5 (бухта 100м),Кабель и провод,116,м,420.0,48720.0,CLNT-1082,Склад Алматы (Южный РЦ),3987,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-CBL-002,Кабель ВВГнг(А)-LS 3х2.5 (бухта 100м),Кабель и провод,228,м,680.0,155040.0,CLNT-1079,Склад Астана (Главный РЦ),5243,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-CBL-002,Кабель ВВГнг(А)-LS 3х2.5 (бухта 100м),Кабель и провод,164,м,680.0,111520.0,CLNT-1049,Склад Алматы (Южный РЦ),5384,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-CBL-003,Провод СИП-4 4х16 (барабан),Кабель и провод,86,м,950.0,81700.0,CLNT-1025,Склад Астана (Главный РЦ),2237,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-CBL-003,Провод СИП-4 4х16 (барабан),Кабель и провод,76,м,950.0,72200.0,CLNT-1045,Склад Алматы (Южный РЦ),2254,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-CBL-004,Кабель витая пара UTP 4 пары Cat 5e PVC 305м,Кабель и провод,138,м,180.0,24840.0,CLNT-1032,Склад Астана (Главный РЦ),3318,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-CBL-004,Кабель витая пара UTP 4 пары Cat 5e PVC 305м,Кабель и провод,90,м,180.0,16200.0,CLNT-1142,Склад Алматы (Южный РЦ),3415,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-CBL-005,Провод ПВС 3х2.5 соединительный белый,Кабель и провод,86,м,540.0,46440.0,CLNT-1009,Склад Астана (Главный РЦ),2086,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-CBL-005,Провод ПВС 3х2.5 соединительный белый,Кабель и провод,55,м,540.0,29700.0,CLNT-1002,Склад Алматы (Южный РЦ),2134,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-CBL-006,Кабель гибкий резиновый КГ-ХЛ 3х4+1х2.5,Кабель и провод,22,м,1450.0,31900.0,CLNT-1121,Склад Астана (Главный РЦ),698,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-CBL-006,Кабель гибкий резиновый КГ-ХЛ 3х4+1х2.5,Кабель и провод,21,м,1450.0,30450.0,CLNT-1068,Склад Алматы (Южный РЦ),706,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-AUT-001,Выключатель автоматический 1P 16A C 4.5кА ВА47-29,Модульное оборудование,82,шт,1150.0,94300.0,CLNT-1069,Склад Астана (Главный РЦ),2381,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-AUT-001,Выключатель автоматический 1P 16A C 4.5кА ВА47-29,Модульное оборудование,88,шт,1150.0,101200.0,CLNT-1003,Склад Алматы (Южный РЦ),2397,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-AUT-002,Выключатель автоматический 1P 25A C 4.5кА ВА47-29,Модульное оборудование,63,шт,1150.0,72450.0,CLNT-1044,Склад Астана (Главный РЦ),1812,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-AUT-002,Выключатель автоматический 1P 25A C 4.5кА ВА47-29,Модульное оборудование,52,шт,1150.0,59800.0,CLNT-1031,Склад Алматы (Южный РЦ),1842,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-AUT-003,Выключатель автоматический 3P 32A C 6кА Easy9,Модульное оборудование,34,шт,4600.0,156400.0,CLNT-1128,Склад Астана (Главный РЦ),773,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-AUT-003,Выключатель автоматический 3P 32A C 6кА Easy9,Модульное оборудование,27,шт,4600.0,124200.0,CLNT-1099,Склад Алматы (Южный РЦ),785,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-AUT-004,УЗО 2P 40A 30мА электронное ВД1-63,Модульное оборудование,26,шт,4200.0,109200.0,CLNT-1032,Склад Астана (Главный РЦ),612,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-AUT-004,УЗО 2P 40A 30мА электронное ВД1-63,Модульное оборудование,21,шт,4200.0,88200.0,CLNT-1128,Склад Алматы (Южный РЦ),617,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-AUT-005,Дифференциальный автомат 1P+N 16A C 30мА АВДТ32,Модульное оборудование,25,шт,3850.0,96250.0,CLNT-1104,Склад Астана (Главный РЦ),836,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-AUT-005,Дифференциальный автомат 1P+N 16A C 30мА АВДТ32,Модульное оборудование,21,шт,3850.0,80850.0,CLNT-1109,Склад Алматы (Южный РЦ),853,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-AUT-006,Автоматический выключатель дифференциальный 3P+N 63A,Модульное оборудование,4,шт,18500.0,74000.0,CLNT-1103,Склад Астана (Главный РЦ),111,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-AUT-006,Автоматический выключатель дифференциальный 3P+N 63A,Модульное оборудование,3,шт,18500.0,55500.0,CLNT-1114,Склад Алматы (Южный РЦ),116,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-LGT-001,Панель светодиодная LED 600x600 36W 4000K Опал,Светотехника,58,шт,5400.0,313200.0,CLNT-1088,Склад Астана (Главный РЦ),1242,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-LGT-001,Панель светодиодная LED 600x600 36W 4000K Опал,Светотехника,31,шт,5400.0,167400.0,CLNT-1141,Склад Алматы (Южный РЦ),1291,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-LGT-002,Прожектор светодиодный 50W 6500K IP65 SMD,Светотехника,44,шт,4800.0,211200.0,CLNT-1092,Склад Астана (Главный РЦ),965,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-LGT-002,Прожектор светодиодный 50W 6500K IP65 SMD,Светотехника,20,шт,4800.0,96000.0,CLNT-1139,Склад Алматы (Южный РЦ),1001,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-LGT-003,Лампа светодиодная LED A60 11W E27 4000K,Светотехника,116,шт,420.0,48720.0,CLNT-1130,Склад Астана (Главный РЦ),3075,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-LGT-003,Лампа светодиодная LED A60 11W E27 4000K,Светотехника,82,шт,420.0,34440.0,CLNT-1014,Склад Алматы (Южный РЦ),3114,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-LGT-004,Светильник пылевлагозащищенный ЛСП 2х36W IP65,Светотехника,19,шт,6200.0,117800.0,CLNT-1014,Склад Астана (Главный РЦ),495,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-LGT-004,Светильник пылевлагозащищенный ЛСП 2х36W IP65,Светотехника,14,шт,6200.0,86800.0,CLNT-1096,Склад Алматы (Южный РЦ),513,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-LGT-005,Светильник аварийный светодиодный 30 LED с АКБ,Светотехника,20,шт,3100.0,62000.0,CLNT-1074,Склад Астана (Главный РЦ),419,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-LGT-005,Светильник аварийный светодиодный 30 LED с АКБ,Светотехника,10,шт,3100.0,31000.0,CLNT-1149,Склад Алматы (Южный РЦ),429,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-ELU-001,Розетка 2-местная с заземлением белая Glossa,Электроустановочные изделия,77,шт,1450.0,111650.0,CLNT-1131,Склад Астана (Главный РЦ),1948,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-ELU-001,Розетка 2-местная с заземлением белая Glossa,Электроустановочные изделия,46,шт,1450.0,66700.0,CLNT-1112,Склад Алматы (Южный РЦ),1987,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-ELU-002,Выключатель 1-клавишный белый Glossa,Электроустановочные изделия,73,шт,1200.0,87600.0,CLNT-1039,Склад Астана (Главный РЦ),1655,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-ELU-002,Выключатель 1-клавишный белый Glossa,Электроустановочные изделия,43,шт,1200.0,51600.0,CLNT-1074,Склад Алматы (Южный РЦ),1706,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-ELU-003,Рамка 3 поста универсальная белая Glossa,Электроустановочные изделия,48,шт,850.0,40800.0,CLNT-1126,Склад Астана (Главный РЦ),970,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-ELU-003,Рамка 3 поста универсальная белая Glossa,Электроустановочные изделия,27,шт,850.0,22950.0,CLNT-1102,Склад Алматы (Южный РЦ),996,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-ELU-004,Вилка каучуковая прямая 16A IP44,Электроустановочные изделия,56,шт,720.0,40320.0,CLNT-1004,Склад Астана (Главный РЦ),1094,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-ELU-004,Вилка каучуковая прямая 16A IP44,Электроустановочные изделия,34,шт,720.0,24480.0,CLNT-1072,Склад Алматы (Южный РЦ),1122,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-CNS-001,Кабель-канал 25х16 мм белый (упак. 40м),Кабельнесущие системы,193,м,160.0,30880.0,CLNT-1126,Склад Астана (Главный РЦ),4434,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-CNS-001,Кабель-канал 25х16 мм белый (упак. 40м),Кабельнесущие системы,148,м,160.0,23680.0,CLNT-1092,Склад Алматы (Южный РЦ),4509,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-CNS-002,Лоток перфорированный оцинкованный 100х50х3000,Кабельнесущие системы,88,м,2850.0,250800.0,CLNT-1133,Склад Астана (Главный РЦ),2509,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-CNS-002,Лоток перфорированный оцинкованный 100х50х3000,Кабельнесущие системы,87,м,2850.0,247950.0,CLNT-1123,Склад Алматы (Южный РЦ),2546,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-CNS-003,Труба гофрированная ПВХ d20 с протяжкой (100м),Кабельнесущие системы,277,м,75.0,20775.0,CLNT-1041,Склад Астана (Главный РЦ),6076,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-CNS-003,Труба гофрированная ПВХ d20 с протяжкой (100м),Кабельнесущие системы,180,м,75.0,13500.0,CLNT-1036,Склад Алматы (Южный РЦ),6241,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-SHT-001,Корпус металлический ЩРн-24з-1 36 УХЛ3 IP31,Щитовое оборудование,12,шт,14200.0,170400.0,CLNT-1084,Склад Астана (Главный РЦ),332,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-SHT-001,Корпус металлический ЩРн-24з-1 36 УХЛ3 IP31,Щитовое оборудование,10,шт,14200.0,142000.0,CLNT-1021,Склад Алматы (Южный РЦ),345,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-SHT-002,Счетчик э/э многотарифный 3-фазный прямого включения,Щитовое оборудование,5,шт,24500.0,122500.0,CLNT-1073,Склад Астана (Главный РЦ),225,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-SHT-002,Счетчик э/э многотарифный 3-фазный прямого включения,Щитовое оборудование,3,шт,24500.0,73500.0,CLNT-1069,Склад Алматы (Южный РЦ),232,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-SHT-003,Шина нулевая изолированная на DIN-рейку 8х12 / 12 групп,Щитовое оборудование,45,шт,480.0,21600.0,CLNT-1078,Склад Астана (Главный РЦ),1401,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-SHT-003,Шина нулевая изолированная на DIN-рейку 8х12 / 12 групп,Щитовое оборудование,33,шт,480.0,15840.0,CLNT-1110,Склад Алматы (Южный РЦ),1437,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-SHT-004,Наконечник кабельный медный луженый ТМЛ 16-8-6,Щитовое оборудование,204,шт,110.0,22440.0,CLNT-1041,Склад Астана (Главный РЦ),4982,Регулярная продажа,Штатный торговый оборот
2025-09-02,EKT-SHT-004,Наконечник кабельный медный луженый ТМЛ 16-8-6,Щитовое оборудование,129,шт,110.0,14190.0,CLNT-1143,Склад Алматы (Южный РЦ),5126,Регулярная продажа,Штатный торговый оборот
2025-09-03,EKT-CBL-001,Кабель ВВГнг(А)-LS 3х1.5 (бухта 100м),Кабель и провод,158,м,420.0,66360.0,CLNT-1114,Склад Астана (Главный РЦ),3721,Регулярная продажа,Штатный торговый оборот
2025-09-03,EKT-CBL-001,Кабель ВВГнг(А)-LS 3х1.5 (бухта 100м),Кабель и провод,108,м,420.0,45360.0,CLNT-1146,Склад Алматы (Южный РЦ),3879,Регулярная продажа,Штатный торговый оборот
2025-09-03,EKT-CBL-002,Кабель ВВГнг(А)-LS 3х2.5 (бухта 100м),Кабель и провод,208,м,680.0,141440.0,CLNT-1043,Склад Астана (Главный РЦ),5035,Регулярная продажа,Штатный торговый оборот
2025-09-03,EKT-CBL-002,Кабель ВВГнг(А)-LS 3х2.5 (бухта 100м),Кабель и провод,169,м,680.0,114920.0,CLNT-1023,Склад Алматы (Южный РЦ),5215,Регулярная продажа,Штатный торговый оборот
2025-09-03,EKT-CBL-003,Провод СИП-4 4х16 (барабан),Кабель и провод,81,м,950.0,76950.0,CLNT-1119,Склад Астана (Главный РЦ),2156,Регулярная продажа,Штатный торговый оборот
2025-09-03,EKT-CBL-003,Провод СИП-4 4х16 (барабан),Кабель и провод,66,м,950.0,62700.0,CLNT-1019,Склад Алматы (Южный РЦ),2188,Регулярная продажа,Штатный торговый оборот
2025-09-03,EKT-CBL-004,Кабель витая пара UTP 4 пары Cat 5e PVC 305м,Кабель и провод,142,м,180.0,25560.0,CLNT-1087,Склад Астана (Главный РЦ),3176,Регулярная продажа,Штатный торговый оборот
2025-09-03,EKT-CBL-004,Кабель витая пара UTP 4 пары Cat 5e PVC 305м,Кабель и провод,99,м,180.0,17820.0,CLNT-1025,Склад Алматы (Южный РЦ),3316,Регулярная продажа,Штатный торговый оборот
2025-09-03,EKT-CBL-005,Провод ПВС 3х2.5 соединительный белый,Кабель и провод,86,м,540.0,46440.0,CLNT-1099,Склад Астана (Главный РЦ),2000,Регулярная продажа,Штатный торговый оборот
2025-09-03,EKT-CBL-005,Провод ПВС 3х2.5 соединительный белый,Кабель и провод,64,м,540.0,34560.0,CLNT-1052,Склад Алматы (Южный РЦ),2070,Регулярная продажа,Штатный торговый оборот
2025-09-03,EKT-CBL-006,Кабель гибкий резиновый КГ-ХЛ 3х4+1х2.5,Кабель и провод,33,м,1450.0,47850.0,CLNT-1034,Склад Астана (Главный РЦ),665,Регулярная продажа,Штатный торговый оборот
